,Renamed,Ozone,Solar.R,Wind,Month,Day,Year,Temp,Weather
50,51,13.0,137.0,10.3,6,20,2010,76,S
51,52,41.583333333333336,150.0,6.3,6,21,2010,77,S
52,53,41.583333333333336,59.0,1.7,6,22,2010,76,C
53,54,41.583333333333336,91.0,4.6,6,23,2010,76,PS
54,55,41.583333333333336,250.0,6.3,6,24,2010,76,S
55,56,41.583333333333336,135.0,8.0,6,25,2010,75,C
56,57,41.583333333333336,127.0,8.0,6,26,2010,78,PS
57,58,41.583333333333336,47.0,10.3,6,27,2010,73,C
58,59,41.583333333333336,98.0,11.5,6,28,2010,80,PS
59,60,41.583333333333336,31.0,14.9,6,29,2010,77,S
60,61,41.583333333333336,138.0,8.0,6,30,2010,83,S
61,62,135.0,269.0,4.1,7,1,2010,84,S
62,63,49.0,248.0,9.2,7,2,2010,85,C
63,64,32.0,236.0,9.2,7,3,2010,81,PS
64,65,41.583333333333336,101.0,10.9,7,4,2010,84,S
65,66,64.0,175.0,4.6,7,5,2010,83,S
66,67,40.0,314.0,10.9,7,6,2010,83,C
67,68,77.0,276.0,5.1,7,7,2010,88,C
68,69,97.0,267.0,6.3,7,8,2010,92,PS
69,70,97.0,272.0,5.7,7,9,2010,92,C
70,71,85.0,175.0,7.4,7,10,2010,89,PS
71,72,41.583333333333336,139.0,8.6,7,11,2010,82,S
72,73,10.0,264.0,14.3,7,12,2010,73,S
73,74,27.0,175.0,14.9,7,13,2010,81,S
74,75,41.583333333333336,291.0,14.9,7,14,2010,91,C
75,76,7.0,48.0,14.3,7,15,2010,80,PS
76,77,48.0,260.0,6.9,7,16,2010,81,S
77,78,35.0,274.0,10.3,7,17,2010,82,S
78,79,61.0,285.0,6.3,7,18,2010,84,C
79,80,79.0,187.0,5.1,7,19,2010,87,PS
80,81,63.0,220.0,11.5,7,20,2010,85,C
81,82,16.0,7.0,6.9,7,21,2010,74,S
82,83,41.583333333333336,258.0,9.7,7,22,2010,81,S
83,84,41.583333333333336,295.0,11.5,7,23,2010,82,C
84,85,80.0,294.0,8.6,7,24,2010,86,PS
85,86,108.0,223.0,8.0,7,25,2010,85,PS
86,87,20.0,81.0,8.6,7,26,2010,82,C
87,88,52.0,82.0,12.0,7,27,2010,86,S
88,89,82.0,213.0,7.4,7,28,2010,88,S
89,90,50.0,275.0,7.4,7,29,2010,86,C
90,91,64.0,253.0,7.4,7,30,2010,83,PS
91,92,59.0,254.0,9.2,7,31,2010,81,C
92,93,39.0,83.0,6.9,8,1,2010,81,PS
93,94,9.0,24.0,13.8,8,2,2010,81,S
94,95,16.0,77.0,7.4,8,3,2010,82,PS
95,96,78.0,238.0,6.9,8,4,2010,86,S
96,97,35.0,238.0,7.4,8,5,2010,85,S
97,98,66.0,238.0,4.6,8,6,2010,87,C
98,99,122.0,255.0,4.0,8,7,2010,89,C
99,100,89.0,229.0,10.3,8,8,2010,90,PS
100,101,110.0,207.0,8.0,8,9,2010,90,C
101,102,41.583333333333336,222.0,8.6,8,10,2010,92,PS
102,103,41.583333333333336,137.0,11.5,8,11,2010,86,S
103,104,44.0,192.0,11.5,8,12,2010,86,S
104,105,28.0,273.0,11.5,8,13,2010,82,S
105,106,65.0,157.0,9.7,8,14,2010,80,C
106,107,41.583333333333336,64.0,11.5,8,15,2010,79,C
107,108,22.0,71.0,10.3,8,16,2010,77,C
108,109,59.0,51.0,6.3,8,17,2010,79,PS
109,110,23.0,115.0,7.4,8,18,2010,76,C
110,111,31.0,244.0,10.9,8,19,2010,78,PS
111,112,44.0,190.0,10.3,8,20,2010,78,S
112,113,21.0,259.0,15.5,8,21,2010,77,S
113,114,9.0,36.0,14.3,8,22,2010,72,C
114,115,41.583333333333336,255.0,12.6,8,23,2010,75,PS
115,116,45.0,212.0,9.7,8,24,2010,79,C
116,117,168.0,238.0,3.4,8,25,2010,81,PS
117,118,73.0,215.0,8.0,8,26,2010,86,S
118,119,41.583333333333336,153.0,5.7,8,27,2010,88,S
119,120,76.0,203.0,9.7,8,28,2010,97,S
120,121,118.0,225.0,2.3,8,29,2010,94,S
121,122,84.0,237.0,6.3,8,30,2010,96,S
122,123,85.0,188.0,6.3,8,31,2010,94,C
123,124,96.0,167.0,6.9,9,1,2010,91,C
124,125,78.0,197.0,5.1,9,2,2010,92,PS
125,126,73.0,183.0,2.8,9,3,2010,93,C
126,127,91.0,189.0,4.6,9,4,2010,93,PS
127,128,47.0,95.0,7.4,9,5,2010,87,S
128,129,32.0,92.0,15.5,9,6,2010,84,S
129,130,20.0,252.0,10.9,9,7,2010,80,S
130,131,23.0,220.0,10.3,9,8,2010,78,C
131,132,21.0,230.0,10.9,9,9,2010,75,PS
132,133,24.0,259.0,9.7,9,10,2010,73,C
133,134,44.0,236.0,14.9,9,11,2010,81,PS
134,135,21.0,259.0,15.5,9,12,2010,76,S
135,136,28.0,238.0,6.3,9,13,2010,77,S
136,137,9.0,24.0,10.9,9,14,2010,71,PS
137,138,13.0,112.0,11.5,9,15,2010,71,PS
138,139,46.0,237.0,6.9,9,16,2010,78,S
139,140,18.0,224.0,13.8,9,17,2010,67,PS
140,141,13.0,27.0,10.3,9,18,2010,76,S
141,142,24.0,238.0,10.3,9,19,2010,68,C
142,143,16.0,201.0,8.0,9,20,2010,82,PS
143,144,13.0,238.0,12.6,9,21,2010,64,PS
144,145,23.0,14.0,9.2,9,22,2010,71,S
145,146,36.0,139.0,10.3,9,23,2010,81,S
146,147,7.0,49.0,10.3,9,24,2010,69,C
147,148,14.0,20.0,16.6,9,25,2010,63,PS
148,149,30.0,193.0,6.9,9,26,2010,70,C
149,150,41.583333333333336,145.0,13.2,9,27,2010,77,PS
150,151,14.0,191.0,14.3,9,28,2010,75,S
151,152,18.0,131.0,8.0,9,29,2010,76,PS
152,153,20.0,223.0,11.5,9,30,2010,68,S
153,154,41.0,190.0,7.4,5,1,2010,67,C
154,155,30.0,193.0,6.9,9,26,2010,70,PS
155,156,41.583333333333336,145.0,13.2,9,27,2010,77,S
156,157,14.0,191.0,14.3,9,28,2010,75,S
157,158,18.0,131.0,8.0,9,29,2010,76,C
